Salariés,Zone,Secteur,Type Site,Domaines,Pack Hébergement,Nb Emails,CMS,SSL,CDN,Options,Durée (ans),Prix Domaines (€ HT),Prix Hébergement (€ HT),Prix SSL (€ HT),Prix CDN (€ HT),Prix Options (€ HT),TOTAL (€ HT),TOTAL (€ TTC),Prix/mois (€ TTC)
Freelance,Local,Commerce & Retail,Vitrine,.fr,Starter,2,WordPress,Let's Encrypt (Gratuit),Non nécessaire,Aucune,1,7.79,11.88,0.00,0.00,0.00,19.67,23.60,1.97
Freelance,Local,Commerce & Retail,Vente,.fr,Perso,10,PrestaShop,Sectigo DV,CDN Basic,Sauvegardes automatiques,1,7.79,39.48,61.59,33.48,24.00,166.34,199.61,16.63
Freelance,Local,Restauration & Hôtellerie,Vitrine,.fr,Starter,2,WordPress,Let's Encrypt (Gratuit),Non nécessaire,Visibilité Pro (Google Maps),1,7.79,11.88,0.00,0.00,588.00,607.67,729.20,60.77
Freelance,Local,Restauration & Hôtellerie,Vente,.fr,Perso,10,PrestaShop,Sectigo DV,CDN Basic,Sauvegardes automatiques,1,7.79,39.48,61.59,33.48,24.00,166.34,199.61,16.63
Freelance,Local,Services & Conseil,Vitrine,.fr,Starter,2,WordPress,Let's Encrypt (Gratuit),Non nécessaire,Aucune,1,7.79,11.88,0.00,0.00,0.00,19.67,23.60,1.97
Freelance,Local,Services & Conseil,Vente,.fr,Perso,10,PrestaShop,Sectigo DV,CDN Basic,Sauvegardes automatiques,1,7.79,39.48,61.59,33.48,24.00,166.34,199.61,16.63
Freelance,Local,Santé & Médical,Vitrine,.fr,Starter,2,WordPress,Sectigo DV,CDN Security (RGPD),Aucune,1,7.79,11.88,61.59,79.08,0.00,160.34,192.41,16.03
Freelance,Local,Santé & Médical,Vente,.fr,Perso,10,PrestaShop,Sectigo DV,CDN Security (RGPD),Sauvegardes automatiques,1,7.79,39.48,61.59,79.08,24.00,211.94,254.33,21.19
Freelance,Local,Tech & Digital,Vitrine,.fr,Starter,2,WordPress,Let's Encrypt (Gratuit),Non nécessaire,Aucune,1,7.79,11.88,0.00,0.00,0.00,19.67,23.60,1.97
Freelance,Local,Tech & Digital,Vente,.fr,Perso,10,PrestaShop,Sectigo DV,CDN Basic,Sauvegardes automatiques,1,7.79,39.48,61.59,33.48,24.00,166.34,199.61,16.63
Freelance,Local,Créatif & Arts,Vitrine,.fr,Starter,2,WordPress,Let's Encrypt (Gratuit),Non nécessaire,Aucune,1,7.79,11.88,0.00,0.00,0.00,19.67,23.60,1.97
Freelance,Local,Créatif & Arts,Vente,.fr,Perso,10,PrestaShop,Sectigo DV,CDN Basic,Sauvegardes automatiques,1,7.79,39.48,61.59,33.48,24.00,166.34,199.61,16.63
Freelance,Local,Industrie & BTP,Vitrine,.fr,Starter,2,WordPress,Let's Encrypt (Gratuit),Non nécessaire,Aucune,1,7.79,11.88,0.00,0.00,0.00,19.67,23.60,1.97
Freelance,Local,Industrie & BTP,Vente,.fr,Perso,10,PrestaShop,Sectigo DV,CDN Basic,Sauvegardes automatiques,1,7.79,39.48,61.59,33.48,24.00,166.34,199.61,16.63
Freelance,Local,Finance & Assurance,Vitrine,.fr,Starter,2,WordPress,Let's Encrypt (Gratuit),Non nécessaire,Aucune,1,7.79,11.88,0.00,0.00,0.00,19.67,23.60,1.97
Freelance,Local,Finance & Assurance,Vente,.fr,Perso,10,PrestaShop,Sectigo DV,CDN Basic,Sauvegardes automatiques,1,7.79,39.48,61.59,33.48,24.00,166.34,199.61,16.63
Freelance,National,Commerce & Retail,Vitrine,.fr + .com,Starter,2,WordPress,Let's Encrypt (Gratuit),Non nécessaire,Aucune,1,21.28,11.88,0.00,0.00,0.00,33.16,39.79,3.32
Freelance,National,Commerce & Retail,Vente,.fr + .com,Perso,10,PrestaShop,Sectigo DV,CDN Basic,Sauvegardes automatiques,1,21.28,39.48,61.59,33.48,24.00,179.83,215.80,17.98
Freelance,National,Restauration & Hôtellerie,Vitrine,.fr + .com,Starter,2,WordPress,Let's Encrypt (Gratuit),Non nécessaire,Aucune,1,21.28,11.88,0.00,0.00,0.00,33.16,39.79,3.32
Freelance,National,Restauration & Hôtellerie,Vente,.fr + .com,Perso,10,PrestaShop,Sectigo DV,CDN Basic,Sauvegardes automatiques,1,21.28,39.48,61.59,33.48,24.00,179.83,215.80,17.98
Freelance,National,Services & Conseil,Vitrine,.fr + .com,Starter,2,WordPress,Let's Encrypt (Gratuit),Non nécessaire,Aucune,1,21.28,11.88,0.00,0.00,0.00,33.16,39.79,3.32
Freelance,National,Services & Conseil,Vente,.fr + .com,Perso,10,PrestaShop,Sectigo DV,CDN Basic,Sauvegardes automatiques,1,21.28,39.48,61.59,33.48,24.00,179.83,215.80,17.98
Freelance,National,Santé & Médical,Vitrine,.fr + .com,Starter,2,WordPress,Sectigo DV,CDN Security (RGPD),Aucune,1,21.28,11.88,61.59,79.08,0.00,173.83,208.60,17.38
Freelance,National,Santé & Médical,Vente,.fr + .com,Perso,10,PrestaShop,Sectigo DV,CDN Security (RGPD),Sauvegardes automatiques,1,21.28,39.48,61.59,79.08,24.00,225.43,270.52,22.54
Freelance,National,Tech & Digital,Vitrine,.fr + .com,Starter,2,WordPress,Let's Encrypt (Gratuit),Non nécessaire,Aucune,1,21.28,11.88,0.00,0.00,0.00,33.16,39.79,3.32
Freelance,National,Tech & Digital,Vente,.fr + .com,Perso,10,PrestaShop,Sectigo DV,CDN Basic,Sauvegardes automatiques,1,21.28,39.48,61.59,33.48,24.00,179.83,215.80,17.98
Freelance,National,Créatif & Arts,Vitrine,.fr + .com,Starter,2,WordPress,Let's Encrypt (Gratuit),Non nécessaire,Aucune,1,21.28,11.88,0.00,0.00,0.00,33.16,39.79,3.32
Freelance,National,Créatif & Arts,Vente,.fr + .com,Perso,10,PrestaShop,Sectigo DV,CDN Basic,Sauvegardes automatiques,1,21.28,39.48,61.59,33.48,24.00,179.83,215.80,17.98
Freelance,National,Industrie & BTP,Vitrine,.fr + .com,Starter,2,WordPress,Let's Encrypt (Gratuit),Non nécessaire,Aucune,1,21.28,11.88,0.00,0.00,0.00,33.16,39.79,3.32
Freelance,National,Industrie & BTP,Vente,.fr + .com,Perso,10,PrestaShop,Sectigo DV,CDN Basic,Sauvegardes automatiques,1,21.28,39.48,61.59,33.48,24.00,179.83,215.80,17.98
Freelance,National,Finance & Assurance,Vitrine,.fr + .com,Starter,2,WordPress,Let's Encrypt (Gratuit),Non nécessaire,Aucune,1,21.28,11.88,0.00,0.00,0.00,33.16,39.79,3.32
Freelance,National,Finance & Assurance,Vente,.fr + .com,Perso,10,PrestaShop,Sectigo DV,CDN Basic,Sauvegardes automatiques,1,21.28,39.48,61.59,33.48,24.00,179.83,215.80,17.98
Freelance,International,Commerce & Retail,Vitrine,.com + .eu,Starter,2,WordPress,Let's Encrypt (Gratuit),CDN Basic,Aucune,1,22.08,11.88,0.00,33.48,0.00,67.44,80.93,6.74
Freelance,International,Commerce & Retail,Vente,.com + .eu,Perso,10,PrestaShop,Sectigo DV,CDN Security,Sauvegardes automatiques,1,22.08,39.48,61.59,79.08,24.00,226.23,271.48,22.62
Freelance,International,Restauration & Hôtellerie,Vitrine,.com + .eu,Starter,2,WordPress,Let's Encrypt (Gratuit),CDN Basic,Aucune,1,22.08,11.88,0.00,33.48,0.00,67.44,80.93,6.74
Freelance,International,Restauration & Hôtellerie,Vente,.com + .eu,Perso,10,PrestaShop,Sectigo DV,CDN Security,Sauvegardes automatiques,1,22.08,39.48,61.59,79.08,24.00,226.23,271.48,22.62
Freelance,International,Services & Conseil,Vitrine,.com + .eu,Starter,2,WordPress,Let's Encrypt (Gratuit),CDN Basic,Aucune,1,22.08,11.88,0.00,33.48,0.00,67.44,80.93,6.74
Freelance,International,Services & Conseil,Vente,.com + .eu,Perso,10,PrestaShop,Sectigo DV,CDN Security,Sauvegardes automatiques,1,22.08,39.48,61.59,79.08,24.00,226.23,271.48,22.62
Freelance,International,Santé & Médical,Vitrine,.com + .eu,Starter,2,WordPress,Sectigo DV,CDN Security (RGPD),Aucune,1,22.08,11.88,61.59,79.08,0.00,174.63,209.56,17.46
Freelance,International,Santé & Médical,Vente,.com + .eu,Perso,10,PrestaShop,Sectigo DV,CDN Security (RGPD),Sauvegardes automatiques,1,22.08,39.48,61.59,79.08,24.00,226.23,271.48,22.62
Freelance,International,Tech & Digital,Vitrine,.com + .io,Starter,2,WordPress,Let's Encrypt (Gratuit),CDN Basic,Aucune,1,73.28,11.88,0.00,33.48,0.00,118.64,142.37,11.86
Freelance,International,Tech & Digital,Vente,.com + .io,Perso,10,PrestaShop,Sectigo DV,CDN Security,Sauvegardes automatiques,1,73.28,39.48,61.59,79.08,24.00,277.43,332.92,27.74
Freelance,International,Créatif & Arts,Vitrine,.com + .eu,Starter,2,WordPress,Let's Encrypt (Gratuit),CDN Basic,Aucune,1,22.08,11.88,0.00,33.48,0.00,67.44,80.93,6.74
Freelance,International,Créatif & Arts,Vente,.com + .eu,Perso,10,PrestaShop,Sectigo DV,CDN Security,Sauvegardes automatiques,1,22.08,39.48,61.59,79.08,24.00,226.23,271.48,22.62
Freelance,International,Industrie & BTP,Vitrine,.com + .eu,Starter,2,WordPress,Let's Encrypt (Gratuit),CDN Basic,Aucune,1,22.08,11.88,0.00,33.48,0.00,67.44,80.93,6.74
Freelance,International,Industrie & BTP,Vente,.com + .eu,Perso,10,PrestaShop,Sectigo DV,CDN Security,Sauvegardes automatiques,1,22.08,39.48,61.59,79.08,24.00,226.23,271.48,22.62
Freelance,International,Finance & Assurance,Vitrine,.com + .eu,Starter,2,WordPress,Let's Encrypt (Gratuit),CDN Basic,Aucune,1,22.08,11.88,0.00,33.48,0.00,67.44,80.93,6.74
Freelance,International,Finance & Assurance,Vente,.com + .eu,Perso,10,PrestaShop,Sectigo DV,CDN Security,Sauvegardes automatiques,1,22.08,39.48,61.59,79.08,24.00,226.23,271.48,22.62
2-10,Local,Commerce & Retail,Vitrine,.fr,Perso,10,WordPress,Let's Encrypt (Gratuit),Non nécessaire,Aucune,1,7.79,39.48,0.00,0.00,0.00,47.27,56.72,4.73
2-10,Local,Commerce & Retail,Vente,.fr,Pro,100,PrestaShop,Sectigo DV,CDN Basic,Sauvegardes automatiques,1,7.79,79.08,61.59,33.48,24.00,205.94,247.13,20.59
2-10,Local,Restauration & Hôtellerie,Vitrine,.fr,Perso,10,WordPress,Let's Encrypt (Gratuit),Non nécessaire,Visibilité Pro (Google Maps),1,7.79,39.48,0.00,0.00,588.00,635.27,762.32,63.53
2-10,Local,Restauration & Hôtellerie,Vente,.fr,Pro,100,PrestaShop,Sectigo DV,CDN Basic,Sauvegardes automatiques,1,7.79,79.08,61.59,33.48,24.00,205.94,247.13,20.59
2-10,Local,Services & Conseil,Vitrine,.fr,Perso,10,WordPress,Let's Encrypt (Gratuit),Non nécessaire,Aucune,1,7.79,39.48,0.00,0.00,0.00,47.27,56.72,4.73
2-10,Local,Services & Conseil,Vente,.fr,Pro,100,PrestaShop,Sectigo DV,CDN Basic,Sauvegardes automatiques,1,7.79,79.08,61.59,33.48,24.00,205.94,247.13,20.59
2-10,Local,Santé & Médical,Vitrine,.fr,Perso,10,WordPress,Sectigo DV,CDN Security (RGPD),Aucune,1,7.79,39.48,61.59,79.08,0.00,187.94,225.53,18.79
2-10,Local,Santé & Médical,Vente,.fr,Pro,100,PrestaShop,Sectigo DV,CDN Security (RGPD),Sauvegardes automatiques,1,7.79,79.08,61.59,79.08,24.00,251.54,301.85,25.15
2-10,Local,Tech & Digital,Vitrine,.fr,Perso,10,WordPress,Let's Encrypt (Gratuit),Non nécessaire,Aucune,1,7.79,39.48,0.00,0.00,0.00,47.27,56.72,4.73
2-10,Local,Tech & Digital,Vente,.fr,Pro,100,PrestaShop,Sectigo DV,CDN Basic,Sauvegardes automatiques,1,7.79,79.08,61.59,33.48,24.00,205.94,247.13,20.59
2-10,Local,Créatif & Arts,Vitrine,.fr,Perso,10,WordPress,Let's Encrypt (Gratuit),Non nécessaire,Aucune,1,7.79,39.48,0.00,0.00,0.00,47.27,56.72,4.73
2-10,Local,Créatif & Arts,Vente,.fr,Pro,100,PrestaShop,Sectigo DV,CDN Basic,Sauvegardes automatiques,1,7.79,79.08,61.59,33.48,24.00,205.94,247.13,20.59
2-10,Local,Industrie & BTP,Vitrine,.fr,Perso,10,WordPress,Let's Encrypt (Gratuit),Non nécessaire,Aucune,1,7.79,39.48,0.00,0.00,0.00,47.27,56.72,4.73
2-10,Local,Industrie & BTP,Vente,.fr,Pro,100,PrestaShop,Sectigo DV,CDN Basic,Sauvegardes automatiques,1,7.79,79.08,61.59,33.48,24.00,205.94,247.13,20.59
2-10,Local,Finance & Assurance,Vitrine,.fr,Perso,10,WordPress,Let's Encrypt (Gratuit),Non nécessaire,Aucune,1,7.79,39.48,0.00,0.00,0.00,47.27,56.72,4.73
2-10,Local,Finance & Assurance,Vente,.fr,Pro,100,PrestaShop,Sectigo DV,CDN Basic,Sauvegardes automatiques,1,7.79,79.08,61.59,33.48,24.00,205.94,247.13,20.59
2-10,National,Commerce & Retail,Vitrine,.fr + .com,Perso,10,WordPress,Let's Encrypt (Gratuit),Non nécessaire,Aucune,1,21.28,39.48,0.00,0.00,0.00,60.76,72.91,6.08
2-10,National,Commerce & Retail,Vente,.fr + .com,Pro,100,PrestaShop,Sectigo DV,CDN Basic,Sauvegardes automatiques,1,21.28,79.08,61.59,33.48,24.00,219.43,263.32,21.94
2-10,National,Restauration & Hôtellerie,Vitrine,.fr + .com,Perso,10,WordPress,Let's Encrypt (Gratuit),Non nécessaire,Aucune,1,21.28,39.48,0.00,0.00,0.00,60.76,72.91,6.08
2-10,National,Restauration & Hôtellerie,Vente,.fr + .com,Pro,100,PrestaShop,Sectigo DV,CDN Basic,Sauvegardes automatiques,1,21.28,79.08,61.59,33.48,24.00,219.43,263.32,21.94
2-10,National,Services & Conseil,Vitrine,.fr + .com,Perso,10,WordPress,Let's Encrypt (Gratuit),Non nécessaire,Aucune,1,21.28,39.48,0.00,0.00,0.00,60.76,72.91,6.08
2-10,National,Services & Conseil,Vente,.fr + .com,Pro,100,PrestaShop,Sectigo DV,CDN Basic,Sauvegardes automatiques,1,21.28,79.08,61.59,33.48,24.00,219.43,263.32,21.94
2-10,National,Santé & Médical,Vitrine,.fr + .com,Perso,10,WordPress,Sectigo DV,CDN Security (RGPD),Aucune,1,21.28,39.48,61.59,79.08,0.00,201.43,241.72,20.14
2-10,National,Santé & Médical,Vente,.fr + .com,Pro,100,PrestaShop,Sectigo DV,CDN Security (RGPD),Sauvegardes automatiques,1,21.28,79.08,61.59,79.08,24.00,265.03,318.04,26.50
2-10,National,Tech & Digital,Vitrine,.fr + .com,Perso,10,WordPress,Let's Encrypt (Gratuit),Non nécessaire,Aucune,1,21.28,39.48,0.00,0.00,0.00,60.76,72.91,6.08
2-10,National,Tech & Digital,Vente,.fr + .com,Pro,100,PrestaShop,Sectigo DV,CDN Basic,Sauvegardes automatiques,1,21.28,79.08,61.59,33.48,24.00,219.43,263.32,21.94
2-10,National,Créatif & Arts,Vitrine,.fr + .com,Perso,10,WordPress,Let's Encrypt (Gratuit),Non nécessaire,Aucune,1,21.28,39.48,0.00,0.00,0.00,60.76,72.91,6.08
2-10,National,Créatif & Arts,Vente,.fr + .com,Pro,100,PrestaShop,Sectigo DV,CDN Basic,Sauvegardes automatiques,1,21.28,79.08,61.59,33.48,24.00,219.43,263.32,21.94
2-10,National,Industrie & BTP,Vitrine,.fr + .com,Perso,10,WordPress,Let's Encrypt (Gratuit),Non nécessaire,Aucune,1,21.28,39.48,0.00,0.00,0.00,60.76,72.91,6.08
2-10,National,Industrie & BTP,Vente,.fr + .com,Pro,100,PrestaShop,Sectigo DV,CDN Basic,Sauvegardes automatiques,1,21.28,79.08,61.59,33.48,24.00,219.43,263.32,21.94
2-10,National,Finance & Assurance,Vitrine,.fr + .com,Perso,10,WordPress,Let's Encrypt (Gratuit),Non nécessaire,Aucune,1,21.28,39.48,0.00,0.00,0.00,60.76,72.91,6.08
2-10,National,Finance & Assurance,Vente,.fr + .com,Pro,100,PrestaShop,Sectigo DV,CDN Basic,Sauvegardes automatiques,1,21.28,79.08,61.59,33.48,24.00,219.43,263.32,21.94
2-10,International,Commerce & Retail,Vitrine,.com + .eu,Perso,10,WordPress,Let's Encrypt (Gratuit),CDN Basic,Aucune,1,22.08,39.48,0.00,33.48,0.00,95.04,114.05,9.50
2-10,International,Commerce & Retail,Vente,.com + .eu,Pro,100,PrestaShop,Sectigo DV,CDN Security,Sauvegardes automatiques,1,22.08,79.08,61.59,79.08,24.00,265.83,319.00,26.58
2-10,International,Restauration & Hôtellerie,Vitrine,.com + .eu,Perso,10,WordPress,Let's Encrypt (Gratuit),CDN Basic,Aucune,1,22.08,39.48,0.00,33.48,0.00,95.04,114.05,9.50
2-10,International,Restauration & Hôtellerie,Vente,.com + .eu,Pro,100,PrestaShop,Sectigo DV,CDN Security,Sauvegardes automatiques,1,22.08,79.08,61.59,79.08,24.00,265.83,319.00,26.58
2-10,International,Services & Conseil,Vitrine,.com + .eu,Perso,10,WordPress,Let's Encrypt (Gratuit),CDN Basic,Aucune,1,22.08,39.48,0.00,33.48,0.00,95.04,114.05,9.50
2-10,International,Services & Conseil,Vente,.com + .eu,Pro,100,PrestaShop,Sectigo DV,CDN Security,Sauvegardes automatiques,1,22.08,79.08,61.59,79.08,24.00,265.83,319.00,26.58
2-10,International,Santé & Médical,Vitrine,.com + .eu,Perso,10,WordPress,Sectigo DV,CDN Security (RGPD),Aucune,1,22.08,39.48,61.59,79.08,0.00,202.23,242.68,20.22
2-10,International,Santé & Médical,Vente,.com + .eu,Pro,100,PrestaShop,Sectigo DV,CDN Security (RGPD),Sauvegardes automatiques,1,22.08,79.08,61.59,79.08,24.00,265.83,319.00,26.58
2-10,International,Tech & Digital,Vitrine,.com + .io,Perso,10,WordPress,Let's Encrypt (Gratuit),CDN Basic,Aucune,1,73.28,39.48,0.00,33.48,0.00,146.24,175.49,14.62
2-10,International,Tech & Digital,Vente,.com + .io,Pro,100,PrestaShop,Sectigo DV,CDN Security,Sauvegardes automatiques,1,73.28,79.08,61.59,79.08,24.00,317.03,380.44,31.70
2-10,International,Créatif & Arts,Vitrine,.com + .eu,Perso,10,WordPress,Let's Encrypt (Gratuit),CDN Basic,Aucune,1,22.08,39.48,0.00,33.48,0.00,95.04,114.05,9.50
2-10,International,Créatif & Arts,Vente,.com + .eu,Pro,100,PrestaShop,Sectigo DV,CDN Security,Sauvegardes automatiques,1,22.08,79.08,61.59,79.08,24.00,265.83,319.00,26.58
2-10,International,Industrie & BTP,Vitrine,.com + .eu,Perso,10,WordPress,Let's Encrypt (Gratuit),CDN Basic,Aucune,1,22.08,39.48,0.00,33.48,0.00,95.04,114.05,9.50
2-10,International,Industrie & BTP,Vente,.com + .eu,Pro,100,PrestaShop,Sectigo DV,CDN Security,Sauvegardes automatiques,1,22.08,79.08,61.59,79.08,24.00,265.83,319.00,26.58
2-10,International,Finance & Assurance,Vitrine,.com + .eu,Perso,10,WordPress,Let's Encrypt (Gratuit),CDN Basic,Aucune,1,22.08,39.48,0.00,33.48,0.00,95.04,114.05,9.50
2-10,International,Finance & Assurance,Vente,.com + .eu,Pro,100,PrestaShop,Sectigo DV,CDN Security,Sauvegardes automatiques,1,22.08,79.08,61.59,79.08,24.00,265.83,319.00,26.58
11-50,Local,Commerce & Retail,Vitrine,.fr,Pro,100,WordPress,Let's Encrypt (Gratuit),Non nécessaire,Email Pro: 10 comptes,2,7.79,158.16,0.00,0.00,477.60,643.55,772.26,32.18
11-50,Local,Commerce & Retail,Vente,.fr,Pro,100,PrestaShop,Sectigo EV,CDN Basic,Email Pro: 10 comptes + Sauvegardes automatiques,2,7.79,158.16,248.58,66.96,525.60,1007.09,1208.51,50.35
11-50,Local,Restauration & Hôtellerie,Vitrine,.fr,Pro,100,WordPress,Let's Encrypt (Gratuit),Non nécessaire,Email Pro: 10 comptes + Visibilité Pro (Google Maps),2,7.79,158.16,0.00,0.00,1653.60,1819.55,2183.46,90.98
11-50,Local,Restauration & Hôtellerie,Vente,.fr,Pro,100,PrestaShop,Sectigo EV,CDN Basic,Email Pro: 10 comptes + Sauvegardes automatiques,2,7.79,158.16,248.58,66.96,525.60,1007.09,1208.51,50.35
11-50,Local,Services & Conseil,Vitrine,.fr,Pro,100,WordPress,Let's Encrypt (Gratuit),Non nécessaire,Email Pro: 10 comptes,2,7.79,158.16,0.00,0.00,477.60,643.55,772.26,32.18
11-50,Local,Services & Conseil,Vente,.fr,Pro,100,PrestaShop,Sectigo EV,CDN Basic,Email Pro: 10 comptes + Sauvegardes automatiques,2,7.79,158.16,248.58,66.96,525.60,1007.09,1208.51,50.35
11-50,Local,Santé & Médical,Vitrine,.fr,Pro,100,WordPress,Sectigo DV,CDN Security (RGPD),Email Pro: 10 comptes,2,7.79,158.16,123.18,158.16,477.60,924.89,1109.87,46.24
11-50,Local,Santé & Médical,Vente,.fr,Pro,100,PrestaShop,Sectigo EV,CDN Security (RGPD),Email Pro: 10 comptes + Sauvegardes automatiques,2,7.79,158.16,248.58,158.16,525.60,1098.29,1317.95,54.91
11-50,Local,Tech & Digital,Vitrine,.fr,Pro,100,WordPress,Let's Encrypt (Gratuit),Non nécessaire,Email Pro: 10 comptes,2,7.79,158.16,0.00,0.00,477.60,643.55,772.26,32.18
